time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_cmd,rudder_right_cmd,rps_readback,bow_readback,winddir,windspeed,GNSS_quality_fore,GNSS_quality_mdi,GNSS_quality_aft,n_bt_rps_cmd,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,kf_linear_dist,kf_linear_speed,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_raw,velo_ms_lidar_kf,velo_ms_lidar_ma
0.0,-1.2030385732650757,0,-1.5204622745513916,0,1.1650687456130981,0.0011707611847668886,0.0,0.0,0.0,0,199,0.029999999329447746,4,1,4,0.0,-1.206355333328247,0,-1.514877200126648,0,4.0045166015625,-0.848388671875,-1.2030385732650757,0,-1.5204622745513916,0,1.1650687456130981,0.0011707611847668886,1.1260426044464111,-0.004518216475844383,0,1,1.1319999694824219,1.0131999969482421,-0.019999437034130096,-0.004518216475844383,-0.013199996948242143
0.1,-1.203934669494629,0,-1.5189534425735474,0,1.0834424495697021,-0.007282461505383253,-105.0,60.0,0.0,0,199,0.029999999329447746,4,1,4,-11.835075378417969,-1.2088701725006104,0,-1.5154626369476318,0,3.9166259765625,-0.84228515625,-1.203934669494629,0,-1.5189534425735474,0,1.0834424495697021,-0.007282461505383253,1.1264889240264893,-0.004582938272505999,0,1,1.1319999694824219,1.0131999969482421,-0.019999437034130096,-0.004582938272505999,-0.013199996948242143
0.2,-1.2052680253982544,0,-1.5180103778839111,0,1.0001238584518433,-0.015590842813253403,-105.0,60.0,0.0,-710,199,0.029999999329447746,4,1,4,-11.835075378417969,-1.2087384462356567,0,-1.5173648595809937,0,3.834228515625,-0.848388671875,-1.2052680253982544,0,-1.5180103778839111,0,1.0001238584518433,-0.015590842813253403,1.1267980337142944,-0.004611059091985226,0,1,1.3990000486373901,1.039900004863739,2.6700003147125244,-0.004611059091985226,-0.039900004863739014
0.30000000000000004,-1.2068572044372559,0,-1.5181905031204224,0,0.8341658711433411,-0.03214200586080551,-105.0,60.0,0.0,-710,199,0.029999999329447746,4,1,4,-11.835075378417969,-1.2086176872253418,0,-1.519148349761963,0,3.7518310546875,-0.8544921875,-1.2068572044372559,0,-1.5181905031204224,0,0.8341658711433411,-0.03214200586080551,1.1583296060562134,0.0008690913673490286,0,1,1.1330000162124634,1.0133000016212463,-2.9900004863739014,0.0008690913673490286,-0.013300001621246338
0.4,-1.2068572044372559,0,-1.5181905031204224,0,0.8341658711433411,-0.03214200586080551,-105.0,60.0,0.0,-710,199,0.03999999910593033,4,1,4,-11.835075378417969,-1.205581545829773,0,-1.5144978761672974,0,3.66943359375,-0.81787109375,-1.2068572044372559,0,-1.5181905031204224,0,0.8341658711433411,-0.03214200586080551,1.1583296060562134,0.0008690913673490286,0,1,1.1330000162124634,1.0133000016212463,-2.9900004863739014,0.0008690913673490286,-0.013300001621246338
0.5,-1.2065125703811646,0,-1.5171929597854614,0,0.7514103055000305,-0.0399601086974144,-105.0,60.0,0.0,-710,199,0.03999999910593033,4,1,4,-11.835075378417969,-1.2054659128189087,0,-1.5162817239761353,0,3.5870361328125,-0.811767578125,-1.2065125703811646,0,-1.5171929597854614,0,0.7514103055000305,-0.0399601086974144,1.1569088697433472,-0.0045864819549024105,0,1,1.1360000371932983,1.0136000037193298,0.029999837279319763,-0.0045864819549024105,-0.01360000371932979
0.6000000000000001,-1.20622980594635,0,-1.516946792602539,0,0.6687514781951904,-0.04763969033956528,-105.0,60.0,0.0,-710,199,0.029999999329447746,4,1,4,-11.835075378417969,-1.205352783203125,0,-1.5180656909942627,0,3.504638671875,-0.81787109375,-1.20622980594635,0,-1.516946792602539,0,0.6687514781951904,-0.04763969033956528,1.155735969543457,-0.004523393698036671,0,1,1.1380000114440918,1.0138000011444093,0.019999628886580467,-0.004523393698036671,-0.013800001144409269
0.7000000000000001,-1.2059929370880127,0,-1.5172491073608398,0,0.5861632227897644,-0.05530358850955963,-105.0,60.0,0.0,-710,199,0.029999999329447746,4,1,4,-11.835075378417969,-1.202324390411377,0,-1.5134156942367554,0,3.4222412109375,-0.823974609375,-1.2059929370880127,0,-1.5172491073608398,0,0.5861632227897644,-0.05530358850955963,1.1547411680221558,-0.004478661809116602,0,1,1.1109999418258667,1.0110999941825867,-0.2700001001358032,-0.004478661809116602,-0.01109999418258667
0.8,-1.2050018310546875,0,-1.5162134170532227,0,0.5036265254020691,-0.06295195966959,-105.0,60.0,0.0,-710,199,0.029999999329447746,4,1,4,-11.835075378417969,-1.1992985010147095,0,-1.5087659358978271,0,3.33984375,-0.86669921875,-1.2050018310546875,0,-1.5162134170532227,0,0.5036265254020691,-0.06295195966959,1.1522876024246216,-0.004962993320077658,0,0,1.1330000162124634,1.0133000016212463,0.22000057995319366,-0.004962993320077658,-0.013300001621246338
0.9,-1.2034610509872437,0,-1.5142014026641846,0,0.42112746834754944,-0.07094934582710266,-105.0,60.0,0.0,-710,199,0.009999999776482582,4,1,4,-11.835075378417969,-1.2018340826034546,0,-1.509352684020996,0,3.251953125,-0.872802734375,-1.2034610509872437,0,-1.5142014026641846,0,0.42112746834754944,-0.07094934582710266,1.1512056589126587,-0.004552642814815044,0,1,1.1339999437332153,1.0133999943733216,0.009999837726354599,-0.004552642814815044,-0.013399994373321622
