time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_RC,rudder_right_RC,rps_readback,bow_readback,winddir,windspeed,n_bt_rps_cmd,ref_x,ref_u,ref_y,ref_vm,ref_psi,ref_r,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
0,0,0,0,0,0,0,12.95275307,13.36362839,0,0,138,3.5,0,0,0,0,0,0,0,0,0,0,0,30.8605957,-0.103759766,0,0,0,0,0,0,0,0,0.769999981,0.977000058,0.229999423
0.1,0,0,0,0,0,0,12.40157509,12.7272644,0,0,138,3.5,-11.83507538,0,0,0,0,0,0,0,0,0,0,30.85510254,-0.079345703,0,0,0,0,0,0,0,0,1.062999964,0.985599995,-0.08599937
0.2,0,0,0,0,0,0,12.40157509,13.36362839,0,0,139,3.450000048,27,0,0,0,0,0,0,0,0,0,0,30.84411621,-0.061035156,0,0,0,0,0,0,0,0,1.355999947,1.02263999,-0.370399952
0.3,0,0,0,0,0,0,12.40157509,13.36362839,0,0,139,3.450000048,27,0,0,0,0,0,0,0,0,0,0,30.84411621,-0.048828125,0,0,0,0,0,0,0,0,1.062000036,1.026576042,-0.039360523
0.4,0,0,0,0,0,0,12.40157509,12.7272644,0,0,139,3.450000048,27,0,0,0,0,0,0,0,0,0,0,30.83862305,-0.018310547,0,0,0,0,0,0,0,0,1.062000036,1.030118465,-0.035424232
0.5,0,0,0,0,0,0,12.40157509,12.7272644,0,0,138,3.230000019,27,0,0,0,0,0,0,0,0,0,0,30.83312988,-0.146484375,0,0,0,0,0,0,0,0,1.037999988,1.030906677,-0.007882118
0.6,0,0,0,0,0,0,12.95275307,12.7272644,0,0,138,3.230000019,27,0,0,0,0,0,0,0,0,0,0,30.80566406,-0.311279297,0,0,0,0,0,0,0,0,1.317999959,1.05961597,-0.287092924
0.7,0,0,0,0,0,0,12.40157509,12.7272644,0,0,138,2.75,27,0,0,0,0,0,0,0,0,0,0,30.76721191,-0.445556641,0,0,0,0,0,0,0,0,1.330000043,1.086654425,-0.27038455
0.8,0,0,0,0,0,0,12.40157509,12.7272644,0,0,138,2.75,27,0,0,0,0,0,0,0,0,0,0,30.71777344,-0.48828125,0,0,0,0,0,0,0,0,1.037999988,1.081789017,0.048654079
0.9,0,0,0,0,0,0,12.40157509,12.7272644,0,0,138,2.75,27,0,0,0,0,0,0,0,0,0,0,30.67382813,-0.482177734,0,0,0,0,0,0,0,0,1.047000051,1.078310132,0.034788847
1,0,0,0,0,0,0,12.40157509,12.7272644,0,0,143,2.75999999,27,0,0,0,0,0,0,0,0,0,0,30.62438965,-0.524902344,0,0,0,0,0,0,0,0,1.315000057,1.101979017,-0.236688852
1.1,0,0,0,0,0,0,12.40157509,13.36362839,0,0,143,2.75999999,27,0,0,0,0,0,0,0,0,0,0,30.56945801,-0.567626953,0,0,0,0,0,0,0,0,1.034999967,1.095281124,0.066978931
1.2,0,0,0,0,0,0,12.40157509,13.36362839,0,0,140,2.00999999,27,0,0,0,0,0,0,0,0,0,0,30.44311523,-0.634765625,0,0,0,0,0,0,0,0,1.029999971,1.088752985,0.065281391
1.3,0,0,0,0,0,0,12.40157509,13.36362839,0,0,140,2.00999999,27,0,0,0,0,0,0,0,0,0,0,30.38269043,-0.579833984,0,0,0,0,0,0,0,0,1.029999971,1.082877636,0.05875349
1.4,0,0,0,0,0,0,12.40157509,13.36362839,0,0,142,2.319999933,27,0,0,0,0,0,0,0,0,0,0,30.32775879,-0.518798828,0,0,0,0,0,0,0,0,1.019000053,1.076489925,0.063877106
1.5,0,0,0,0,0,0,12.40157509,13.36362839,0,0,142,2.319999933,27,0,0,0,0,0,0,0,0,0,0,30.27832031,-0.537109375,0,0,0,0,0,0,0,0,1.032999992,1.072140932,0.043489933
1.6,0,0,0,0,0,0,12.40157509,12.7272644,0,0,134,2.579999924,27,0,0,0,0,0,0,0,0,0,0,30.21789551,-0.634765625,0,0,0,0,0,0,0,0,1.324000001,1.097326875,-0.251859426
1.7,0,0,0,0,0,0,12.95275307,13.36362839,0,0,134,2.579999924,27,0,0,0,0,0,0,0,0,0,0,30.14099121,-0.78125,0,0,0,0,0,0,0,0,1.324000001,1.119994283,-0.22667408
1.8,0,0,0,0,0,0,12.95275307,13.36362839,0,0,134,2.579999924,27,0,0,0,0,0,0,0,0,0,0,30.05859375,-0.903320313,0,0,0,0,0,0,0,0,1.024000049,1.110394835,0.095994473
1.9,0,0,0,0,0,0,12.40157509,13.36362839,0,0,137,2.789999962,25.63834381,0,0,0,0,0,0,0,0,0,0,29.97070313,-0.915527344,0,0,0,0,0,0,0,0,1.031000018,1.102455378,0.079394579
2,0,0,0,0,0,0,12.95275307,13.36362839,0,0,137,2.789999962,27,0,0,0,0,0,0,0,0,0,0,29.87731934,-0.921630859,0,0,0,0,0,0,0,0,0.75999999,1.068209887,0.34245491
2.1,0,0,0,0,0,0,12.95275307,13.36362839,0,0,136,2.920000076,-11.83507538,0,0,0,0,0,0,0,0,0,0,29.78393555,-0.915527344,0,0,0,0,0,0,0,0,0.754999995,1.036888838,0.313210487
2.2,0,0,0,0,0,0,12.95275307,13.36362839,0,0,136,2.920000076,-11.83507538,0,0,0,0,0,0,0,0,0,0,29.69604492,-0.915527344,0,0,0,0,0,0,0,0,1.024000049,1.035599947,0.012888908
2.3,0,0,0,0,0,0,12.40157509,12.7272644,0,0,136,2.920000076,27,0,0,0,0,0,0,0,0,0,0,29.60266113,-0.939941406,0,0,0,0,0,0,0,0,1.286999941,1.060739875,-0.251399279
2.4,0,0,0,0,0,0,12.95275307,13.36362839,0,0,129,2.549999952,27,0,0,0,0,0,0,0,0,0,0,29.50927734,-0.915527344,0,0,0,0,0,0,0,0,1.01699996,1.056365848,0.043740273
2.5,0,0,0,0,0,0,12.40157509,12.7272644,0,0,129,2.549999952,27,0,0,0,0,0,0,0,0,0,0,29.41589355,-0.946044922,0,0,0,0,0,0,0,0,1.014000058,1.052129269,0.042365789
2.6,0,0,0,0,0,0,12.40157509,12.7272644,0,0,132,2.559999943,27,0,0,0,0,0,0,0,0,0,0,29.32250977,-0.909423828,0,0,0,0,0,0,0,0,1.274000049,1.074316382,-0.221871138
2.7,0,0,0,0,0,0,12.95275307,13.36362839,0,0,132,2.559999943,27,0,0,0,0,0,0,0,0,0,0,29.23461914,-0.903320313,0,0,0,0,0,0,0,0,1.00999999,1.067884684,0.064316988
2.8,0,0,0,0,0,0,12.40157509,12.7272644,0,0,133,2.049999952,27,0,0,0,0,0,0,0,0,0,0,29.05883789,-0.805664063,0,0,0,0,0,0,0,0,1.287999988,1.089896202,-0.220115185
2.9,0,0,0,0,0,0,12.40157509,12.7272644,0,0,133,2.049999952,27,0,0,0,0,0,0,0,0,0,0,29.05883789,-0.805664063,0,0,0,0,0,0,0,0,1.006000042,1.081506491,0.083897114
3,0,0,0,0,0,0,12.95275307,13.36362839,0,0,133,2.049999952,27,0,0,0,0,0,0,0,0,0,0,28.98742676,-0.708007813,0,0,0,0,0,0,0,0,1.281000018,1.101455927,-0.199494362
3.1,0,0,0,0,0,0,12.40157509,12.7272644,0,0,116,2.019999981,27,0,0,0,0,0,0,0,0,0,0,28.91601563,-0.689697266,0,0,0,0,0,0,0,0,1.264000058,1.117710352,-0.16254425
3.2,0,0,0,0,0,0,12.40157509,12.7272644,0,0,116,2.019999981,27,0,0,0,0,0,0,0,0,0,0,28.85009766,-0.671386719,0,0,0,0,0,0,0,0,1.271999955,1.133139372,-0.154290199
3.3,0,0,0,0,0,0,12.40157509,12.7272644,0,0,116,2.019999981,27,0,0,0,0,0,0,0,0,0,0,28.78417969,-0.640869141,0,0,0,0,0,0,0,0,1.001000047,1.119925499,0.132138729
3.4,0,0,0,0,0,0,12.40157509,13.36362839,0,0,113,1.710000038,-11.83507538,0,0,0,0,0,0,0,0,0,0,28.71826172,-0.634765625,0,0,0,0,0,0,0,0,1.00999999,1.108932972,0.10992527
3.5,0,0,0,0,0,0,12.95275307,13.36362839,0,0,113,1.710000038,-11.83507538,0,0,0,0,0,0,0,0,0,0,28.66333008,-0.561523438,0,0,0,0,0,0,0,0,1.00999999,1.099039674,0.098932981
3.6,0,0,0,0,0,0,12.95275307,13.36362839,0,0,136,1.809999943,-11.83507538,0,0,0,0,0,0,0,0,0,0,28.60839844,-0.524902344,0,0,0,0,0,0,0,0,0.995999992,1.088735819,0.103038549
3.7,0,0,0,0,0,0,15.70866013,13.36362839,0,0,136,1.809999943,-11.83507538,0,0,0,0,0,0,0,0,0,0,28.5534668,-0.555419922,0,0,0,0,0,0,0,0,0.995999992,1.07946229,0.092735291
3.8,0,0,0,0,0,0,15.70866013,13.36362839,0,0,136,1.809999943,-11.83507538,0,0,0,0,0,0,0,0,0,0,28.49304199,-0.592041016,0,0,0,0,0,0,0,0,0.986999989,1.07021594,0.092463493
3.9,0,0,0,0,0,0,12.40157509,12.7272644,0,0,123,1.75,-11.83507538,0,0,0,0,0,0,0,0,0,0,28.42712402,-0.640869141,0,0,0,0,0,0,0,0,0.995000005,1.062694311,0.075216293
