time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_RC,rudder_right_RC,rps_readback,bow_readback,winddir,windspeed,n_bt_rps_cmd,ref_x,ref_u,ref_y,ref_vm,ref_psi,ref_r,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
0,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,64,3.099999905,0,0,0,0,0,0,0,0,0,0,0,80.51330566,-5.444335938,0,0,0,0,0,0,0,0,0,0.899999976,1.000000238
0.1,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,64,3.099999905,-11.83507538,0,0,0,0,0,0,0,0,0,0,79.42016602,-5.511474609,0,0,0,0,0,0,0,0,0,0.809999943,0.900000334
0.2,0,0,0,0,0,0,-73.33333588,-22.15385437,12.82514314,0,69,3.109999895,-11.83507538,0,0,0,0,0,0,0,0,0,0,78.86535645,-5.541992188,0,0,0,0,0,0,0,0,0,0.728999972,0.809999704
0.3,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,78,3.430000067,-11.83507538,0,0,0,0,0,0,0,0,0,0,78.31054688,-5.517578125,0,0,0,0,0,0,0,0,0,0.656099975,0.728999972
0.4,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,78,3.430000067,-11.83507538,0,0,0,0,0,0,0,0,0,0,77.7557373,-5.480957031,0,0,0,0,0,0,0,0,0,0.590489984,0.656099916
0.5,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,78,3.430000067,-11.83507538,0,0,0,0,0,0,0,0,0,0,77.21191406,-5.438232422,0,0,0,0,0,0,0,0,0,0.531440973,0.590490103
0.6,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,70,2.869999886,-11.83507538,0,0,0,0,0,0,0,0,0,0,76.67358398,-5.37109375,0,0,0,0,0,0,0,0,0,0.478296846,0.531441271
0.7,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,70,2.869999886,-11.83507538,0,0,0,0,0,0,0,0,0,0,76.14074707,-5.37109375,0,0,0,0,0,0,0,0,0,0.430467188,0.478296578
0.8,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,63,2.200000048,27,0,0,0,0,0,0,0,0,0,0,75.60241699,-5.346679688,0,0,0,0,0,0,0,0,0,0.387420475,0.430467129
0.9,0,0,0,0,0,0,-72.66667938,-22.15385437,12.82514314,0,63,2.200000048,27,0,0,0,0,0,0,0,0,0,0,75.06958008,-5.328369141,0,0,0,0,0,0,0,0,0,0.34867841,0.387420654
1,0,0,0,0,0,0,-72.66667938,-22.15385437,12.82514314,0,63,2.200000048,27,0,0,0,0,0,0,0,0,0,0,74.53674316,-5.352783203,0,0,0,0,0,0,0,0,0,0.313810557,0.348678529
1.1,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,63,2.200000048,27,0,0,0,0,0,0,0,0,0,0,74.00390625,-5.37109375,0,0,0,0,0,0,0,0,0,0.282429516,0.313810408
1.2,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,70,2.720000029,27,0,0,0,0,0,0,0,0,0,0,73.46008301,-5.395507813,0,0,0,0,0,0,0,0,0,0.254186571,0.282429457
1.3,0,0,0,0,0,0,-72.66667938,-22.15385437,12.82514314,0,70,2.720000029,27,0,0,0,0,0,0,0,0,0,0,73.46008301,-5.395507813,0,0,0,0,0,0,0,0,0,0.228767917,0.254186541
1.4,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,71,3.25,27,0,0,0,0,0,0,0,0,0,0,72.92724609,-5.346679688,0,0,0,0,0,0,0,0,0,0.205891132,0.228767842
1.5,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,71,3.25,27,0,0,0,0,0,0,0,0,0,0,72.39440918,-5.310058594,0,0,0,0,0,0,0,0,0,0.185302019,0.205891132
1.6,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,71,3.25,27,0,0,0,0,0,0,0,0,0,0,71.86706543,-5.279541016,0,0,0,0,0,0,0,0,0,0.166771814,0.185302049
1.7,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,67,2.589999914,27,0,0,0,0,0,0,0,0,0,0,71.33972168,-5.291748047,0,0,0,0,0,0,0,0,0,0.150094628,0.166771859
1.8,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,67,2.589999914,27,0,0,0,0,0,0,0,0,0,0,70.80688477,-5.297851563,0,0,0,0,0,0,0,0,0,0.135085166,0.150094628
1.9,0,0,0,0,0,0,-73.33333588,-19.69232941,12.82514314,0,72,3.230000019,27,0,0,0,0,0,0,0,0,0,0,70.27954102,-5.285644531,0,0,0,0,0,0,0,0,0,0.121576644,0.13508521
2,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,72,3.230000019,27,0,0,0,0,0,0,0,0,0,0,69.7467041,-5.291748047,0,0,0,0,0,0,0,0,0,0.109418973,0.121576712
2.1,0,0,0,0,0,0,-72.66667938,-22.76925087,12.82514314,0,72,3.230000019,27,0,0,0,0,0,0,0,0,0,0,69.21936035,-5.279541016,0,0,0,0,0,0,0,0,0,0.09847708,0.109418929
2.2,0,0,0,0,0,0,-72.66667938,-22.15385437,12.82514314,0,85,2.809999943,27,0,0,0,0,0,0,0,0,0,0,68.68652344,-5.303955078,0,0,0,0,0,0,0,0,0,0.088629372,0.09847708
2.3,0,0,0,0,0,0,-73.33333588,-22.76925087,12.82514314,0,85,2.809999943,27,0,0,0,0,0,0,0,0,0,0,68.15917969,-5.303955078,0,0,0,0,0,0,0,0,0,0.079766437,0.08862935
2.4,0,0,0,0,0,0,-73.33333588,-22.76925087,12.57477796,0,81,2.529999971,27,0,0,0,0,0,0,0,0,0,0,67.10449219,-5.255126953,0,0,0,0,0,0,0,0,0,0.071789794,0.079766437
2.5,0,0,0,0,0,0,-72.66667938,-22.15385437,11.32295205,0,81,2.529999971,27,0,0,0,0,0,0,0,0,0,0,66.5826416,-5.236816406,0,0,0,0,0,0,0,0,0,0.064610817,0.071789771
2.6,0,0,0,0,0,0,-72.66667938,-22.15385437,10.82222169,0,81,2.529999971,27,0,0,0,0,0,0,0,0,0,0,66.05529785,-5.224609375,0,0,0,0,0,0,0,0,0,0.058149736,0.064610802
2.7,0,0,0,0,0,0,-72.66667938,-22.76925087,10.82222169,0,84,2.400000095,27,0,0,0,0,0,0,0,0,0,0,65.53894043,-5.169677734,0,0,0,0,0,0,0,0,0,0.052334763,0.058149733
