time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_cmd,rudder_right_cmd,rps_readback,bow_readback,winddir,windspeed,GNSS_quality_fore,GNSS_quality_mdi,GNSS_quality_aft,n_bt_rps_cmd,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
0.0,0,0,0,0,0,0,0.0,0.0,24.799597085,1571,7,0.5600000023841858,0,0,0,0.0,-11259014,0,5105954.0,0,30.399169921875,0.5126953125,0,0,0,0,0,0,0,1,0.0,0.8999999761581421,1.000000238418579
0.1,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-1571,14,0.6000000238418579,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.5035400390625,0.537109375,0,0,0,0,0,0,0,1,0.0,0.809999942779541,0.9000003337860107
0.2,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,14,0.6000000238418579,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.5035400390625,0.537109375,0,0,0,0,0,0,0,1,0.0,0.7289999723434448,0.8099997043609619
0.30000000000000004,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,14,0.6000000238418579,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.5584716796875,0.567626953125,0,0,0,0,0,0,0,1,0.0,0.6560999751091003,0.7289999723434448
0.4,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,19,0.6200000047683716,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.6793212890625,0.59814453125,0,0,0,0,0,0,0,1,0.0,0.5904899835586548,0.6560999155044556
0.5,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,19,0.6200000047683716,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.73974609375,0.616455078125,0,0,0,0,0,0,0,0,0.0,0.5314409732818604,0.5904901027679443
0.6000000000000001,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,0,0.550000011920929,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.8001708984375,0.59814453125,0,0,0,0,0,0,0,1,0.0,0.47829684615135193,0.5314412713050842
0.7000000000000001,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,0,0.550000011920929,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.860595703125,0.628662109375,0,0,0,0,0,0,0,1,0.0,0.4304671883583069,0.47829657793045044
0.8,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,0,0.550000011920929,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.9210205078125,0.640869140625,0,0,0,0,0,0,0,1,0.0,0.3874204754829407,0.4304671287536621
0.9,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,6,0.6299999952316284,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,30.9814453125,0.604248046875,0,0,0,0,0,0,0,1,0.0,0.3486784100532532,0.387420654296875
1.0,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,6,0.6299999952316284,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.0418701171875,0.59814453125,0,0,0,0,0,0,0,1,0.0,0.3138105571269989,0.3486785292625427
1.1,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.699999988079071,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.0968017578125,0.616455078125,0,0,0,0,0,0,0,1,0.0,0.2824295163154602,0.31381040811538696
1.2000000000000002,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.699999988079071,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.1572265625,0.567626953125,0,0,0,0,0,0,0,1,0.0,0.25418657064437866,0.28242945671081543
1.3,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.699999988079071,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.2176513671875,0.5615234375,0,0,0,0,0,0,0,1,0.0,0.22876791656017303,0.2541865408420563
1.4000000000000001,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.6800000071525574,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.2725830078125,0.5615234375,0,0,0,0,0,0,0,0,0.0,0.20589113235473633,0.22876784205436707
1.5,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.6800000071525574,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.3275146484375,0.579833984375,0,0,0,0,0,0,0,1,0.0,0.1853020191192627,0.20589113235473633
1.6,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.6499999761581421,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.3824462890625,0.531005859375,0,0,0,0,0,0,0,1,0.0,0.1667718142271042,0.18530204892158508
1.7000000000000002,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.6499999761581421,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.4373779296875,0.52490234375,0,0,0,0,0,0,0,0,0.0,0.1500946283340454,0.16677185893058777
1.8,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.6499999761581421,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.48681640625,0.537109375,0,0,0,0,0,0,0,1,0.0,0.13508516550064087,0.1500946283340454
1.9000000000000001,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,3,0.6299999952316284,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.541748046875,0.506591796875,0,0,0,0,0,0,0,1,0.0,0.12157664448022842,0.13508521020412445
2.0,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,3,0.6299999952316284,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.5911865234375,0.50048828125,0,0,0,0,0,0,0,1,0.0,0.10941897332668304,0.1215767115354538
2.1,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.640625,0.4638671875,0,0,0,0,0,0,0,0,0.0,0.0984770804643631,0.10941892862319946
2.2,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.6900634765625,0.482177734375,0,0,0,0,0,0,0,1,0.0,0.08862937241792679,0.0984770804643631
2.3000000000000003,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.739501953125,0.47607421875,0,0,0,0,0,0,0,1,0.0,0.07976643741130829,0.088629350066185
2.4000000000000004,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7599999904632568,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.783447265625,0.482177734375,0,0,0,0,0,0,0,1,0.0,0.07178979367017746,0.07976643741130829
2.5,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7599999904632568,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.8328857421875,0.4638671875,0,0,0,0,0,0,0,1,0.0,0.06461081653833389,0.07178977131843567
2.6,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,11,0.75,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.8328857421875,0.4638671875,0,0,0,0,0,0,0,1,0.0,0.05814973637461662,0.0646108016371727
2.7,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,11,0.75,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.8768310546875,0.45166015625,0,0,0,0,0,0,0,0,0.0,0.05233476310968399,0.058149732649326324
2.8000000000000003,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.699999988079071,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,31.97021484375,0.45166015625,0,0,0,0,0,0,0,0,0.0,0.04710128530859947,0.052334778010845184
2.9000000000000004,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.699999988079071,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.01416015625,0.457763671875,0,0,0,0,0,0,0,1,0.0,0.042391158640384674,0.04710126668214798
3.0,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,6,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.05810546875,0.439453125,0,0,0,0,0,0,0,1,0.0,0.03815204277634621,0.042391158640384674
3.1,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,6,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.1075439453125,0.445556640625,0,0,0,0,0,0,0,1,0.0,0.034336838871240616,0.03815203905105591
3.2,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,6,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.1514892578125,0.45166015625,0,0,0,0,0,0,0,1,0.0,0.030903154984116554,0.034336838871240616
3.3000000000000003,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,6,0.7300000190734863,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.1954345703125,0.421142578125,0,0,0,0,0,0,0,0,0.0,0.027812838554382324,0.0309031642973423
3.4000000000000004,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,11,0.75,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.2833251953125,0.4150390625,0,0,0,0,0,0,0,1,0.0,0.02503155544400215,0.027812831103801727
3.5,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.75,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.3272705078125,0.42724609375,0,0,0,0,0,0,0,1,0.0,0.022528398782014847,0.025031566619873047
3.6,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.75,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.376708984375,0.537109375,0,0,0,0,0,0,0,0,0.0,0.020275559276342392,0.02252839505672455
3.7,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.75,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.4371337890625,0.64697265625,0,0,0,0,0,0,0,1,0.0,0.018248002976179123,0.02027556300163269
3.8000000000000003,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,13,0.7400000095367432,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.508544921875,0.799560546875,0,0,0,0,0,0,0,1,0.0,0.01642320305109024,0.018247999250888824
3.9000000000000004,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,13,0.7400000095367432,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.596435546875,0.946044921875,0,0,0,0,0,0,0,1,0.0,0.014780881814658642,0.016423212364315987
4.0,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7400000095367432,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.706298828125,1.141357421875,0,0,0,0,0,0,0,1,0.0,0.013302793726325035,0.014780880883336067
