time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_RC,rudder_right_RC,rps_readback,bow_readback,winddir,windspeed,n_bt_rps_cmd,ref_x,ref_u,ref_y,ref_vm,ref_psi,ref_r,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
77.30000000000001,-1.9319887161254883,0.2512553930282593,-1.1854161024093628,0.027623625472187996,1.7751176357269287,-0.6001799702644348,-82.66667938232422,95.71427917480469,14.828064594999999,-710,13,1.0,-11.835075378417969,0,0,0,0,0,0,-1.9389292001724243,0.2509787082672119,-1.1858729124069214,0.03010481968522072,1.73583984375,-0.640869140625,-1.9319887161254883,0.2512553930282593,-1.1854161024093628,0.027623625472187996,1.7751176357269287,-0.6001799702644348,1,1,0.8399999737739563,0.7651640772819519,-0.08315086364746094
77.4,-1.9411506652832031,0.2512260377407074,-1.184287667274475,0.027884826064109802,1.7134981155395508,-0.5999863743782043,-84.00000762939453,92.14286041259766,14.828064594999999,-710,13,1.0,-11.835075378417969,0,0,0,0,0,0,-1.9468129873275757,0.2509468197822571,-1.183590292930603,0.030369488522410393,1.6754150390625,-0.59814453125,-1.9411506652832031,0.2512260377407074,-1.184287667274475,0.027884826064109802,1.7134981155395508,-0.5999863743782043,1,1,0.8389999866485596,0.7725476026535034,-0.07383525371551514
77.5,-1.9462590217590332,0.25119641423225403,-1.1839263439178467,0.028146352618932724,1.6526168584823608,-0.6015529632568359,-84.00000762939453,92.14286041259766,14.828064594999999,-710,356,1.0199999809265137,-11.835075378417969,0,0,0,0,0,0,-1.9494162797927856,0.25091463327407837,-1.1837029457092285,0.03063412383198738,1.614990234375,-0.616455078125,-1.9462590217590332,0.25119641423225403,-1.1839263439178467,0.028146352618932724,1.6526168584823608,-0.6015529632568359,1,0,0.843999981880188,0.7796928286552429,-0.07145226001739502
77.60000000000001,-1.9530845880508423,0.25116655230522156,-1.182377576828003,0.028408171609044075,1.5920177698135376,-0.5994869470596313,-83.33333587646484,82.14286041259766,14.828064594999999,-710,356,1.0199999809265137,-11.835075378417969,0,0,0,0,0,0,-1.9573029279708862,0.25088220834732056,-1.1814203262329102,0.030898723751306534,1.5545654296875,-0.579833984375,-1.9530845880508423,0.25116655230522156,-1.182377576828003,0.028408171609044075,1.5920177698135376,-0.5994869470596313,1,1,0.8360000252723694,0.7853235006332397,-0.05630671977996826
77.7,-1.958936333656311,0.2511366605758667,-1.1810418367385864,0.028667964041233063,1.5349212884902954,-0.5970368385314941,-83.33333587646484,82.14286041259766,14.828064594999999,-710,356,1.0199999809265137,-11.835075378417969,0,0,0,0,0,0,-1.9625530242919922,0.25085246562957764,-1.1802163124084473,0.03113923966884613,1.4996337890625,-0.57373046875,-1.958936333656311,0.2511366605758667,-1.1810418367385864,0.028667964041233063,1.5349212884902954,-0.5970368385314941,1,1,0.8450000286102295,0.7912911176681519,-0.059676170349121094
77.80000000000001,-1.9662222862243652,0.2511070668697357,-1.1836903095245361,0.028923632577061653,1.482557773590088,-0.5895944833755493,-83.33333587646484,82.14286041259766,14.828064594999999,-710,0,1.0099999904632568,-11.835075378417969,0,0,0,0,0,0,-1.970725178718567,0.2508254945278168,-1.185327172279358,0.03135567903518677,1.4501953125,-0.518798828125,-1.9662222862243652,0.2511070668697357,-1.1836903095245361,0.028923632577061653,1.482557773590088,-0.5895944833755493,1,1,0.8460000157356262,0.7967620491981506,-0.05470931529998779
77.9,-1.9689886569976807,0.25107768177986145,-1.1853646039962769,0.029175566509366035,1.432002067565918,-0.5776346921920776,-82.66667938232422,78.57142639160156,14.828064594999999,-710,0,1.0099999904632568,-11.835075378417969,0,0,0,0,0,0,-1.9706984758377075,0.2507983446121216,-1.1863994598388672,0.031572096049785614,1.4007568359375,-0.4638671875,-1.9689886569976807,0.25107768177986145,-1.1853646039962769,0.029175566509366035,1.432002067565918,-0.5776346921920776,1,1,0.8420000076293945,0.8012858629226685,-0.04523813724517822
78.0,-1.971834659576416,0.2510488033294678,-1.1905697584152222,0.029421834275126457,1.3855317831039429,-0.5633289813995361,-82.66667938232422,78.57142639160156,14.828064594999999,-710,1,0.7300000190734863,-11.835075378417969,0,0,0,0,0,0,-1.9735934734344482,0.2507740557193756,-1.19378662109375,0.031764447689056396,1.3568115234375,-0.42724609375,-1.971834659576416,0.2510488033294678,-1.1905697584152222,0.029421834275126457,1.3855317831039429,-0.5633289813995361,1,1,0.8370000123977661,0.8048572540283203,-0.035713911056518555
78.10000000000001,-1.9747129678726196,0.2510206401348114,-1.1970497369766235,0.029660683125257492,1.3440169095993042,-0.5486423373222351,-82.00001525878906,80.0,14.828064594999999,-710,1,0.7300000190734863,-11.835075378417969,0,0,0,0,0,0,-1.9764918088912964,0.25075268745422363,-1.2010546922683716,0.03193273767828941,1.318359375,-0.408935546875,-1.9747129678726196,0.2510206401348114,-1.1970497369766235,0.029660683125257492,1.3440169095993042,-0.5486423373222351,1,1,0.8379999995231628,0.8081715703010559,-0.03314316272735596
78.2,-1.9774328470230103,0.25099310278892517,-1.1993001699447632,0.029892820864915848,1.3043949604034424,-0.5312885642051697,-82.00001525878906,80.0,14.828064594999999,-710,1,0.7300000190734863,-11.835075378417969,0,0,0,0,0,0,-1.9791138172149658,0.2507311999797821,-1.2006909847259521,0.032101016491651535,1.2799072265625,-0.3662109375,-1.9774328470230103,0.25099310278892517,-1.1993001699447632,0.029892820864915848,1.3043949604034424,-0.5312885642051697,1,0,0.8360000252723694,0.8109544515609741,-0.02782881259918213
