parameter,value
lpp,3
breadth,0.4843
draft,0.1721
mass_nd,0.158065626
x_lcg,0.03119
rho_fresh,998
dia_prop,0.1001
pitchr,0.6835
area_rudder,0.0079662
lambda_rudder,1.307692308
x_location_rudder,-1.5694
maxtickness_rudder,0.18
rho_air,1.166
area_projected_trans,0.13544
area_projected_lateral,0.52038
AOD,0.1423
LCW,-0.01299
LCBR,-0.06209
HBR,0.294
HC,0.10359
SBW,0.48925
Lz,0
D_bthrust,0.039
D_sthrust,0
x_bowthrust_loc,1.3564
x_stnthrust_loc,0
