,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
33,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.698132,0,-70,-40,-0.21443,0.22933,-0.35459,0.14697,-0.18469,-0.01347,-0.11215,0.00827,0.45297
34,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.523599,0,-70,-30,-0.1981,0.25381,-0.3704,0.153,-0.16292,-0.00815,-0.13198,0.01054,0.46174
35,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.349066,0,-70,-20,-0.15468,0.22273,-0.31438,0.1557,-0.15359,-0.00666,-0.09204,0.00134,0.45774
36,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.174533,0,-70,-10,-0.13053,0.1689,-0.24875,0.15466,-0.15119,-0.00633,-0.05019,0.01066,0.45294
37,0,0.437,0,0,0,0,0,8.15,-1.22173,0,0,-70,0,-0.13127,0.11774,-0.18974,0.15734,-0.15427,-0.00693,-0.01048,0.01533,0.45302
38,0,0.437,0,0,0,0,0,8.15,-1.047198,-1.047198,0,-60,-60,-0.20825,0.2213,-0.32642,0.14631,-0.17271,-0.01206,-0.12541,0.00111,0.45443
39,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.872665,0,-60,-50,-0.21762,0.25213,-0.38096,0.14755,-0.18101,-0.01215,-0.12409,0.00514,0.45271
40,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.698132,0,-60,-40,-0.22025,0.26821,-0.40213,0.14319,-0.18379,-0.01215,-0.12103,0.00938,0.45318
41,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.523599,0,-60,-30,-0.19597,0.27361,-0.38781,0.14513,-0.16696,-0.00893,-0.11675,0.01037,0.45646
42,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.349066,0,-60,-20,-0.13874,0.22727,-0.32925,0.14776,-0.16005,-0.00777,-0.07957,0.00264,0.46079
43,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.174533,0,-60,-10,-0.13445,0.17792,-0.26387,0.15146,-0.15762,-0.00755,-0.03538,0.0106,0.4521
44,0,0.437,0,0,0,0,0,8.15,-1.047198,0,0,-60,0,-0.12511,0.12947,-0.19355,0.15317,-0.15911,-0.00724,0.00177,0.01409,0.45241
45,0,0.437,0,0,0,0,0,8.15,-1.047198,0.349066,0,-60,20,-0.15653,0.03402,-0.06894,0.16397,-0.15465,-0.00567,0.07355,0.00948,0.4508
46,0,0.437,0,0,0,0,0,8.15,-1.047198,0.698132,0,-60,40,-0.19296,-0.02448,0.00259,0.16719,-0.15607,-0.00712,0.13706,-0.00214,0.45995
47,0,0.437,0,0,0,0,0,8.15,-1.047198,1.047198,0,-60,60,-0.24135,-0.02195,0.02497,0.17708,-0.15359,-0.00498,0.18336,-0.01568,0.46133
48,0,0.437,0,0,0,0,0,8.15,-1.047198,1.396263,0,-60,80,-0.22854,0.04977,-0.08803,0.18588,-0.15788,-0.00566,0.17038,-0.00897,0.44957
49,0,0.437,0,0,0,0,0,8.15,-1.047198,1.745329,0,-60,100,-0.24652,0.12577,-0.18987,0.18635,-0.16103,-0.00618,0.17489,-0.0164,0.45176
50,0,0.437,0,0,0,0,0,8.15,-0.872665,-0.872665,0,-50,-50,-0.2005,0.28527,-0.40003,0.14719,-0.15974,-0.00889,-0.14336,0.00534,0.45909
51,0,0.437,0,0,0,0,0,8.15,-0.872665,-0.698132,0,-50,-40,-0.1927,0.29595,-0.41669,0.1488,-0.16631,-0.00945,-0.12796,0.00946,0.45631
52,0,0.437,0,0,0,0,0,8.15,-0.872665,-0.523599,0,-50,-30,-0.15963,0.27835,-0.39023,0.1488,-0.15714,-0.00846,-0.10715,0.00911,0.45352
53,0,0.437,0,0,0,0,0,8.15,-0.872665,-0.349066,0,-50,-20,-0.11151,0.22258,-0.3436,0.15235,-0.15112,-0.00778,-0.06758,0.00348,0.45303
54,0,0.437,0,0,0,0,0,8.15,-0.872665,-0.174533,0,-50,-10,-0.11017,0.19321,-0.26863,0.15098,-0.1542,-0.00867,-0.02699,0.01001,0.46126
55,0,0.437,0,0,0,0,0,8.15,-0.872665,0,0,-50,0,-0.11496,0.14086,-0.21088,0.15062,-0.15434,-0.00857,0.01177,0.01253,0.45783
56,0,0.437,0,0,0,0,0,8.15,-0.698132,-0.698132,0,-40,-40,-0.16257,0.27956,-0.40309,0.14399,-0.1338,-0.00269,-0.13274,0.00862,0.4523
57,0,0.437,0,0,0,0,0,8.15,-0.698132,-0.523599,0,-40,-30,-0.12198,0.25444,-0.37812,0.14202,-0.13687,-0.00314,-0.10222,0.00809,0.45449
58,0,0.437,0,0,0,0,0,8.15,-0.698132,-0.349066,0,-40,-20,-0.10213,0.24224,-0.33463,0.14274,-0.13915,-0.00364,-0.06418,0.00351,0.45826
59,0,0.437,0,0,0,0,0,8.15,-0.698132,-0.174533,0,-40,-10,-0.0874,0.19032,-0.25732,0.14412,-0.14153,-0.00414,-0.02209,0.00929,0.45883
60,0,0.437,0,0,0,0,0,8.15,-0.698132,0,0,-40,0,-0.08233,0.12742,-0.20323,0.14986,-0.13912,-0.0039,0.01628,0.01089,0.45285
61,0,0.437,0,0,0,0,0,8.15,-0.698132,0.349066,0,-40,20,-0.11844,0.04908,-0.07662,0.15228,-0.1413,-0.00516,0.09587,0.00052,0.4557
62,0,0.437,0,0,0,0,0,8.15,-0.698132,0.698132,0,-40,40,-0.17449,-0.02433,0.03414,0.15647,-0.12952,-0.00119,0.16365,-0.00826,0.45186
63,0,0.437,0,0,0,0,0,8.15,-0.698132,1.047198,0,-40,60,-0.18866,0.02892,-0.06868,0.16793,-0.13742,-0.00446,0.15389,-0.00317,0.44875
64,0,0.437,0,0,0,0,0,8.15,-0.698132,1.396263,0,-40,80,-0.20264,0.04734,-0.07962,0.1735,-0.11407,0.00339,0.17316,-0.00938,0.46462
65,0,0.437,0,0,0,0,0,8.15,-0.698132,1.745329,0,-40,100,-0.20332,0.12663,-0.19457,0.17563,-0.11,0.00391,0.17429,-0.01404,0.46002
66,0,0.437,0,0,0,0,0,8.15,-0.523599,-0.523599,0,-30,-30,-0.08177,0.22519,-0.33074,0.13949,-0.11705,-0.01073,-0.07877,0.00869,0.4514
67,0,0.437,0,0,0,0,0,8.15,-0.523599,-0.349066,0,-30,-20,-0.06765,0.22208,-0.29734,0.13827,-0.11419,-0.00373,-0.06128,0.00306,0.46126
68,0,0.437,0,0,0,0,0,8.15,-0.523599,-0.174533,0,-30,-10,-0.06528,0.15778,-0.23513,0.14191,-0.11347,0.00007,-0.02073,0.0087,0.45987
69,0,0.437,0,0,0,0,0,8.15,-0.523599,0,0,-30,0,-0.05934,0.11512,-0.1761,0.1466,-0.11589,-0.00022,0.01783,0.00942,0.4537
